category,orig_name,name,longitude,latitude,alley_capacity,jeep_count,average_time_arrival_mins,total_passenger,time_slot,orig_name.1
Market,BULUA MARKET,Bulua Market,458380.9845,941215.2832,4,15,7,27,8:00:00 am to 10:00:00 am,BULUA MARKET
Market,BULUA MARKET,Bulua Market,458380.9845,941215.2832,4,19,5,39,10:00:00 am to 12:00:00 pm,BULUA MARKET
Market,BULUA MARKET,Bulua Market,458380.9845,941215.2832,4,26,2,37,12:00:00 pm to 3:00:00 pm,BULUA MARKET
Market,BULUA MARKET,Bulua Market,458380.9845,941215.2832,4,18,4,46,3:00:00 pm to 5:00:00 pm,BULUA MARKET
Market,BULUA MARKET,Bulua Market,458380.9845,941215.2832,4,18,4,10,5:00:00 pm to 7:00:00 pm,BULUA MARKET
Market,CARMEN MARKET,Carmen Market,459844.9869,937764.0331,8,72,25,306,8:00:00 am to 10:00:00 am,CARMEN MARKET
Market,CARMEN MARKET,Carmen Market,459844.9869,937764.0331,8,93,30,246,10:00:00 am to 12:00:00 pm,CARMEN MARKET
Market,CARMEN MARKET,Carmen Market,459844.9869,937764.0331,8,111,45,350,12:00:00 pm to 3:00:00 pm,CARMEN MARKET
Market,CARMEN MARKET,Carmen Market,459844.9869,937764.0331,8,65,45,261,3:00:00 pm to 5:00:00 pm,CARMEN MARKET
Market,CARMEN MARKET,Carmen Market,459844.9869,937764.0331,8,54,60,261,5:00:00 pm to 7:00:00 pm,CARMEN MARKET
Market,COGON MARKET,Cogon Market,461473.1887,937471.0612,6,25,30,148,8:00:00 am to 10:00:00 am,COGON MARKET
Market,COGON MARKET,Cogon Market,461473.1887,937471.0612,6,25,33,146,10:00:00 am to 12:00:00 pm,COGON MARKET
Market,COGON MARKET,Cogon Market,461473.1887,937471.0612,6,25,44,217,12:00:00 pm to 3:00:00 pm,COGON MARKET
Market,COGON MARKET,Cogon Market,461473.1887,937471.0612,6,25,42,143,3:00:00 pm to 5:00:00 pm,COGON MARKET
Market,COGON MARKET,Cogon Market,461473.1887,937471.0612,6,25,29,69,5:00:00 pm to 7:00:00 pm,COGON MARKET
Market,SAVEMORE MARKET LAPASAN,Savemore Market Lapasan,462233.3003,938705.8363,5,31,26,52,8:00:00 am to 10:00:00 am,SAVEMORE MARKET LAPASAN
Market,SAVEMORE MARKET LAPASAN,Savemore Market Lapasan,462233.3003,938705.8363,5,37,27,67,10:00:00 am to 12:00:00 pm,SAVEMORE MARKET LAPASAN
Market,SAVEMORE MARKET LAPASAN,Savemore Market Lapasan,462233.3003,938705.8363,5,42,32,69,12:00:00 pm to 3:00:00 pm,SAVEMORE MARKET LAPASAN
Market,SAVEMORE MARKET LAPASAN,Savemore Market Lapasan,462233.3003,938705.8363,5,44,27,78,3:00:00 pm to 5:00:00 pm,SAVEMORE MARKET LAPASAN
Market,SAVEMORE MARKET LAPASAN,Savemore Market Lapasan,462233.3003,938705.8363,5,45,31,78,5:00:00 pm to 7:00:00 pm,SAVEMORE MARKET LAPASAN
Market,PUERTO PUBLIC MARKET,Puerto Public Market,472360.3831,939844.5926,6,24,17,69,8:00:00 am to 10:00:00 am,PUERTO PUBLIC MARKET
Market,PUERTO PUBLIC MARKET,Puerto Public Market,472360.3831,939844.5926,6,26,17,30,10:00:00 am to 12:00:00 pm,PUERTO PUBLIC MARKET
Market,PUERTO PUBLIC MARKET,Puerto Public Market,472360.3831,939844.5926,6,30,17,42,12:00:00 pm to 3:00:00 pm,PUERTO PUBLIC MARKET
Market,PUERTO PUBLIC MARKET,Puerto Public Market,472360.3831,939844.5926,6,29,17,85,3:00:00 pm to 5:00:00 pm,PUERTO PUBLIC MARKET
Market,PUERTO PUBLIC MARKET,Puerto Public Market,472360.3831,939844.5926,6,29,17,85,5:00:00 pm to 7:00:00 pm,PUERTO PUBLIC MARKET
